Date: Week,Product,Product → Target DPCI,Product → Muffin Product Line,Sales Dollars,Sales Units,Stores Scanning,PODs Scanning,Promo Sales Dollars,Promo Sales Units
"Jul 14, 2025 - Jul 20, 2025",Apple Berry Blast YoGos,284-10-4013,Smoothie Pouches,$0.00 ,0,0,0,$0.00 ,0
"Jul 14, 2025 - Jul 20, 2025",Apple Berry Blast YoGos–4 count,284-10-8661,Smoothie Pouches,$0.00 ,0,0,0,$0.00 ,0
"Jul 14, 2025 - Jul 20, 2025",Apple Pie Oat Bakes,071-20-0967,Kids Lunchbox,$0.00 ,0,0,0,$0.00 ,0
"Jul 14, 2025 - Jul 20, 2025",Banana Pitaya Rings,007-10-0291,Toddler Snack,$0.00 ,0,0,0,$0.00 ,0
"Jul 14, 2025 - Jul 20, 2025",Berry Banana Blast,211-34-0231,Smoothie Pouches,$0.00 ,0,0,0,$0.00 ,0
"Jul 14, 2025 - Jul 20, 2025",Berry Banana Blast–4 count,211-34-0239,Smoothie Pouches,$0.00 ,0,0,0,$0.00 ,0
"Jul 14, 2025 - Jul 20, 2025",Blueberry Muffin Oat Bakes,071-20-0966,Kids Lunchbox,$0.00 ,0,0,0,$0.00 ,0
"Jul 14, 2025 - Jul 20, 2025",Chicken Veggie Sliders,270-02-8577,Kids Meals,$0.00 ,0,0,0,$0.00 ,0
"Jul 14, 2025 - Jul 20, 2025",Chocolate Chip Oat Bakes,071-20-0965,Kids Lunchbox,$0.00 ,0,0,0,$0.00 ,0
"Jul 14, 2025 - Jul 20, 2025",Green Dream,211-34-0232,Smoothie Pouches,$0.00 ,0,0,0,$0.00 ,0
"Jul 14, 2025 - Jul 20, 2025",Green Dream–4 count,211-34-0240,Smoothie Pouches,$0.00 ,0,0,0,$0.00 ,0
"Jul 14, 2025 - Jul 20, 2025",Kale Apple Curls,007-10-2035,Toddler Snack,$0.00 ,0,0,0,$0.00 ,0
"Jul 14, 2025 - Jul 20, 2025",Mac + Cheesy Veggie Loops,071-06-0658,BFY Snacks,$0.00 ,0,0,0,$0.00 ,0
"Jul 14, 2025 - Jul 20, 2025",Mini Turkey Kale Meatballs,270-02-2902,Kids Meals,$0.00 ,0,0,0,$0.00 ,0
"Jul 14, 2025 - Jul 20, 2025",Organic Oatmeal Baby Cereal,007-10-9801,Baby Cereal,$0.00 ,0,0,0,$0.00 ,0
"Jul 14, 2025 - Jul 20, 2025",Pineapple Guava Punch,211-34-0236,Smoothie Pouches,$0.00 ,0,0,0,$0.00 ,0
"Jul 14, 2025 - Jul 20, 2025",Pizzalicious Veggie Loops,071-06-0659,BFY Snacks,$0.00 ,0,0,0,$0.00 ,0
"Jul 14, 2025 - Jul 20, 2025",Strawberry Banana Shake,211-34-0230,Smoothie Pouches,$0.00 ,0,0,0,$0.00 ,0
"Jul 14, 2025 - Jul 20, 2025",Strawberry Banana Shake–4 count,211-34-0238,Smoothie Pouches,$0.00 ,0,0,0,$0.00 ,0
"Jul 14, 2025 - Jul 20, 2025",Strawberry Bananza YoGos,284-10-1821,Smoothie Pouches,$0.00 ,0,0,0,$0.00 ,0
"Jul 14, 2025 - Jul 20, 2025",Strawberry Bananza YoGos–4 count,284-10-4983,Smoothie Pouches,$0.00 ,0,0,0,$0.00 ,0
"Jul 14, 2025 - Jul 20, 2025",Super Chicken Dippers,270-02-0128,Kids Meals,$0.00 ,0,0,0,$0.00 ,0
"Jul 14, 2025 - Jul 20, 2025",Tropical Avocado Greens,211-34-0237,Smoothie Pouches,$0.00 ,0,0,0,$0.00 ,0
"Jul 14, 2025 - Jul 20, 2025",Tropical Mango Twist YoGos,284-10-0310,Smoothie Pouches,$0.00 ,0,0,0,$0.00 ,0
"Jul 21, 2025 - Jul 27, 2025",Kale Apple Curls,007-10-2035,Toddler Snack,$5.00 ,1,1,1,$0.00 ,0
"Jul 28, 2025 - Aug 3, 2025",Banana Pitaya Rings,007-10-0291,Toddler Snack,$6.00 ,1,1,1,$0.00 ,0
"Jul 28, 2025 - Aug 3, 2025",Kale Apple Curls,007-10-2035,Toddler Snack,$5.00 ,1,1,1,$0.00 ,0
"Aug 11, 2025 - Aug 17, 2025",Organic Oatmeal Baby Cereal,007-10-9801,Baby Cereal,$5.00 ,1,1,1,$0.00 ,0
"Aug 18, 2025 - Aug 24, 2025",Apple Pie Oat Bakes,071-20-0967,Kids Lunchbox,$12.00 ,2,1,1,$0.00 ,0
"Aug 18, 2025 - Aug 24, 2025",Banana Pitaya Rings,007-10-0291,Toddler Snack,$35.00 ,7,2,2,$0.00 ,0
"Aug 18, 2025 - Aug 24, 2025",Blueberry Muffin Oat Bakes,071-20-0966,Kids Lunchbox,$6.00 ,1,1,1,$0.00 ,0
"Aug 18, 2025 - Aug 24, 2025",Kale Apple Curls,007-10-2035,Toddler Snack,$34.00 ,7,3,3,$4.00 ,1
"Aug 18, 2025 - Aug 24, 2025",Organic Oatmeal Baby Cereal,007-10-9801,Baby Cereal,$25.00 ,5,3,3,$8.00 ,2
"Aug 25, 2025 - Aug 31, 2025",Apple Berry Blast YoGos–4 count,284-10-8661,Smoothie Pouches,$2384.00 ,197,133,133,$182.00 ,17
"Aug 25, 2025 - Aug 31, 2025",Apple Pie Oat Bakes,071-20-0967,Kids Lunchbox,$50.00 ,8,6,6,$0.00 ,0
"Aug 25, 2025 - Aug 31, 2025",Banana Pitaya Rings,007-10-0291,Toddler Snack,$696.00 ,135,59,59,$37.00 ,8
"Aug 25, 2025 - Aug 31, 2025",Blueberry Muffin Oat Bakes,071-20-0966,Kids Lunchbox,$31.00 ,5,4,4,$0.00 ,0
"Aug 25, 2025 - Aug 31, 2025",Green Dream–4 count,211-34-0240,Smoothie Pouches,$12.00 ,1,1,1,$0.00 ,0
"Aug 25, 2025 - Aug 31, 2025",Kale Apple Curls,007-10-2035,Toddler Snack,$703.00 ,135,60,60,$54.00 ,11
"Aug 25, 2025 - Aug 31, 2025",Mac + Cheesy Veggie Loops,071-06-0658,BFY Snacks,$17.00 ,3,2,2,$5.00 ,1
"Aug 25, 2025 - Aug 31, 2025",Organic Oatmeal Baby Cereal,007-10-9801,Baby Cereal,$161.00 ,26,20,20,$17.00 ,3
"Aug 25, 2025 - Aug 31, 2025",Pineapple Guava Punch,211-34-0236,Smoothie Pouches,$10.00 ,3,1,1,$0.00 ,0
"Aug 25, 2025 - Aug 31, 2025",Pizzalicious Veggie Loops,071-06-0659,BFY Snacks,$17.00 ,3,2,2,$5.00 ,1
"Aug 25, 2025 - Aug 31, 2025",Strawberry Bananza YoGos,284-10-1821,Smoothie Pouches,$483.00 ,148,65,65,$36.00 ,12
"Aug 25, 2025 - Aug 31, 2025",Strawberry Bananza YoGos–4 count,284-10-4983,Smoothie Pouches,$2241.00 ,185,128,128,$210.00 ,19
"Aug 25, 2025 - Aug 31, 2025",Tropical Mango Twist YoGos,284-10-0310,Smoothie Pouches,$419.00 ,127,59,59,$52.00 ,17
"Sep 1, 2025 - Sep 7, 2025",Apple Berry Blast YoGos,284-10-4013,Smoothie Pouches,$12.00 ,4,2,2,$0.00 ,0
"Sep 1, 2025 - Sep 7, 2025",Apple Berry Blast YoGos–4 count,284-10-8661,Smoothie Pouches,$7523.00 ,622,410,410,$320.00 ,29
"Sep 1, 2025 - Sep 7, 2025",Apple Pie Oat Bakes,071-20-0967,Kids Lunchbox,$1615.00 ,271,119,119,$147.00 ,30
"Sep 1, 2025 - Sep 7, 2025",Banana Pitaya Rings,007-10-0291,Toddler Snack,$6242.00 ,1213,443,443,$368.00 ,81
"Sep 1, 2025 - Sep 7, 2025",Berry Banana Blast,211-34-0231,Smoothie Pouches,$520.00 ,161,49,49,$9.00 ,3
"Sep 1, 2025 - Sep 7, 2025",Berry Banana Blast–4 count,211-34-0239,Smoothie Pouches,$689.00 ,60,36,36,$31.00 ,3
"Sep 1, 2025 - Sep 7, 2025",Blueberry Muffin Oat Bakes,071-20-0966,Kids Lunchbox,$1873.00 ,314,127,127,$231.00 ,45
"Sep 1, 2025 - Sep 7, 2025",Chicken Veggie Sliders,270-02-8577,Kids Meals,$584.00 ,65,37,37,$213.00 ,27
"Sep 1, 2025 - Sep 7, 2025",Chocolate Chip Oat Bakes,071-20-0965,Kids Lunchbox,$30.00 ,6,0,0,$11.00 ,3
"Sep 1, 2025 - Sep 7, 2025",Green Dream,211-34-0232,Smoothie Pouches,$487.00 ,152,52,52,$15.00 ,5
"Sep 1, 2025 - Sep 7, 2025",Green Dream–4 count,211-34-0240,Smoothie Pouches,$839.00 ,72,45,45,$21.00 ,2
"Sep 1, 2025 - Sep 7, 2025",Kale Apple Curls,007-10-2035,Toddler Snack,$6451.00 ,1254,433,433,$407.00 ,92
"Sep 1, 2025 - Sep 7, 2025",Mac + Cheesy Veggie Loops,071-06-0658,BFY Snacks,$1024.00 ,176,107,107,$134.00 ,27
"Sep 1, 2025 - Sep 7, 2025",Mini Turkey Kale Meatballs,270-02-2902,Kids Meals,$1064.00 ,116,51,51,$318.00 ,40
"Sep 1, 2025 - Sep 7, 2025",Organic Oatmeal Baby Cereal,007-10-9801,Baby Cereal,$2996.00 ,502,276,276,$247.00 ,51
"Sep 1, 2025 - Sep 7, 2025",Pineapple Guava Punch,211-34-0236,Smoothie Pouches,$695.00 ,216,64,64,$38.00 ,13
"Sep 1, 2025 - Sep 7, 2025",Pizzalicious Veggie Loops,071-06-0659,BFY Snacks,$834.00 ,146,88,88,$130.00 ,27
"Sep 1, 2025 - Sep 7, 2025",Strawberry Banana Shake,211-34-0230,Smoothie Pouches,$729.00 ,225,57,57,$24.00 ,8
"Sep 1, 2025 - Sep 7, 2025",Strawberry Banana Shake–4 count,211-34-0238,Smoothie Pouches,$811.00 ,70,42,42,$21.00 ,2
"Sep 1, 2025 - Sep 7, 2025",Strawberry Bananza YoGos,284-10-1821,Smoothie Pouches,$2421.00 ,727,260,260,$108.00 ,34
"Sep 1, 2025 - Sep 7, 2025",Strawberry Bananza YoGos–4 count,284-10-4983,Smoothie Pouches,$9450.00 ,783,467,467,$539.00 ,49
"Sep 1, 2025 - Sep 7, 2025",Super Chicken Dippers,270-02-0128,Kids Meals,$532.00 ,60,38,38,$222.00 ,28
"Sep 1, 2025 - Sep 7, 2025",Tropical Avocado Greens,211-34-0237,Smoothie Pouches,$571.00 ,179,53,53,$12.00 ,4
"Sep 1, 2025 - Sep 7, 2025",Tropical Mango Twist YoGos,284-10-0310,Smoothie Pouches,$2076.00 ,621,251,251,$90.00 ,28
"Sep 8, 2025 - Sep 14, 2025",Apple Berry Blast YoGos,284-10-4013,Smoothie Pouches,$0.00 ,0,0,0,$0.00 ,0
"Sep 8, 2025 - Sep 14, 2025",Apple Berry Blast YoGos–4 count,284-10-8661,Smoothie Pouches,$14403.00 ,1218,642,642,$824.00 ,78
"Sep 8, 2025 - Sep 14, 2025",Apple Pie Oat Bakes,071-20-0967,Kids Lunchbox,$11183.00 ,1948,683,683,$2965.00 ,600
"Sep 8, 2025 - Sep 14, 2025",Banana Pitaya Rings,007-10-0291,Toddler Snack,$27172.00 ,5340,1463,1463,$1815.00 ,405
"Sep 8, 2025 - Sep 14, 2025",Berry Banana Blast,211-34-0231,Smoothie Pouches,$2101.00 ,657,187,187,$119.00 ,40
"Sep 8, 2025 - Sep 14, 2025",Berry Banana Blast–4 count,211-34-0239,Smoothie Pouches,$3076.00 ,262,133,133,$167.00 ,16
"Sep 8, 2025 - Sep 14, 2025",Blueberry Muffin Oat Bakes,071-20-0966,Kids Lunchbox,$13669.00 ,2370,712,712,$3459.00 ,699
"Sep 8, 2025 - Sep 14, 2025",Chicken Veggie Sliders,270-02-8577,Kids Meals,$4212.00 ,540,255,255,$4212.00 ,540
"Sep 8, 2025 - Sep 14, 2025",Chocolate Chip Oat Bakes,071-20-0965,Kids Lunchbox,$927.00 ,184,26,26,$652.00 ,139
"Sep 8, 2025 - Sep 14, 2025",Green Dream,211-34-0232,Smoothie Pouches,$2237.00 ,701,199,199,$132.00 ,43
"Sep 8, 2025 - Sep 14, 2025",Green Dream–4 count,211-34-0240,Smoothie Pouches,$3253.00 ,280,140,140,$259.00 ,25
"Sep 8, 2025 - Sep 14, 2025",Kale Apple Curls,007-10-2035,Toddler Snack,$27896.00 ,5486,1463,1463,$2154.00 ,484
"Sep 8, 2025 - Sep 14, 2025",Mac + Cheesy Veggie Loops,071-06-0658,BFY Snacks,$5687.00 ,1010,517,517,$1505.00 ,307
"Sep 8, 2025 - Sep 14, 2025",Mini Turkey Kale Meatballs,270-02-2902,Kids Meals,$5962.00 ,765,290,290,$5963.00 ,765
"Sep 8, 2025 - Sep 14, 2025",Organic Oatmeal Baby Cereal,007-10-9801,Baby Cereal,$16832.00 ,2947,1149,1149,$3941.00 ,805
"Sep 8, 2025 - Sep 14, 2025",Pineapple Guava Punch,211-34-0236,Smoothie Pouches,$2804.00 ,868,187,187,$136.00 ,45
"Sep 8, 2025 - Sep 14, 2025",Pizzalicious Veggie Loops,071-06-0659,BFY Snacks,$5162.00 ,923,500,500,$1534.00 ,314
"Sep 8, 2025 - Sep 14, 2025",Strawberry Banana Shake,211-34-0230,Smoothie Pouches,$3214.00 ,994,216,216,$204.00 ,66
"Sep 8, 2025 - Sep 14, 2025",Strawberry Banana Shake–4 count,211-34-0238,Smoothie Pouches,$3879.00 ,329,172,172,$210.00 ,20
"Sep 8, 2025 - Sep 14, 2025",Strawberry Bananza YoGos,284-10-1821,Smoothie Pouches,$5145.00 ,1581,446,446,$312.00 ,102
"Sep 8, 2025 - Sep 14, 2025",Strawberry Bananza YoGos–4 count,284-10-4983,Smoothie Pouches,$17319.00 ,1467,702,702,$1095.00 ,103
"Sep 8, 2025 - Sep 14, 2025",Super Chicken Dippers,270-02-0128,Kids Meals,$3745.00 ,479,252,252,$3745.00 ,479
"Sep 8, 2025 - Sep 14, 2025",Tropical Avocado Greens,211-34-0237,Smoothie Pouches,$2495.00 ,778,187,187,$153.00 ,50
"Sep 8, 2025 - Sep 14, 2025",Tropical Mango Twist YoGos,284-10-0310,Smoothie Pouches,$4517.00 ,1392,456,456,$307.00 ,100
"Sep 15, 2025 - Sep 21, 2025",Apple Berry Blast YoGos–4 count,284-10-8661,Smoothie Pouches,$18475.00 ,1582,826,826,$1364.00 ,129
"Sep 15, 2025 - Sep 21, 2025",Apple Pie Oat Bakes,071-20-0967,Kids Lunchbox,$16942.00 ,3199,897,897,$10562.00 ,2145
"Sep 15, 2025 - Sep 21, 2025",Banana Pitaya Rings,007-10-0291,Toddler Snack,$36470.00 ,7421,1640,1640,$6105.00 ,1487
"Sep 15, 2025 - Sep 21, 2025",Berry Banana Blast,211-34-0231,Smoothie Pouches,$4221.00 ,1323,338,338,$338.00 ,113
"Sep 15, 2025 - Sep 21, 2025",Berry Banana Blast–4 count,211-34-0239,Smoothie Pouches,$4484.00 ,385,190,190,$334.00 ,33
"Sep 15, 2025 - Sep 21, 2025",Blueberry Muffin Oat Bakes,071-20-0966,Kids Lunchbox,$20922.00 ,3891,939,939,$11672.00 ,2368
"Sep 15, 2025 - Sep 21, 2025",Chicken Veggie Sliders,270-02-8577,Kids Meals,$15216.00 ,1964,815,815,$15222.00 ,1964
"Sep 15, 2025 - Sep 21, 2025",Chocolate Chip Oat Bakes,071-20-0965,Kids Lunchbox,$5020.00 ,938,324,324,$2825.00 ,576
"Sep 15, 2025 - Sep 21, 2025",Green Dream,211-34-0232,Smoothie Pouches,$3865.00 ,1210,315,315,$305.00 ,105
"Sep 15, 2025 - Sep 21, 2025",Green Dream–4 count,211-34-0240,Smoothie Pouches,$4307.00 ,374,157,157,$369.00 ,36
